postcode,instals,estimated_dwellings,density,capacity,capunder10,cap10_100,capover100,countunder10,count10_100,countover100,pot_kw,pot_sqm,pot_gwh,id,locality,state,long,lat,dc,type,status,sa3,sa3name,sa4,sa4name,region,Lat_precise,Long_precise,SA1_MAINCODE_2011,SA1_MAINCODE_2016,SA2_MAINCODE_2016,SA2_NAME_2016,SA3_CODE_2016,SA3_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,RA_2011,RA_2016,MMM_2015,MMM_2019,ced,altitude,chargezone,phn_code,phn_name,lgaregion,lgacode,electorate,electoraterating,ALGO,Total Potentian incl +100
4350,14840,51308,26.4,87675,56899,26822,3954,13564,1269,7,926051,"5,926,729",1391,9761,ATHOL,QLD,151.852689,-27.576308,TOOWOOMBA DC,Delivery Area,Updated 2-Dec-2022,31701,Toowoomba,317,Toowoomba,R3,-27.6274394,151.7699978,30702118205,30702118205,307021182,Pittsworth,30702,Darling Downs - East,307,Darling Downs - Maranoa,2,2,2,2,Groom,,Q2,PHN304,Darling Downs and West Moreton,Toowoomba,36910,Groom,Provincial,2637,930005
3175,4231,22325,15.8,50842,15614,25799,9429,3521,693,17,864959,"5,535,737",1106,6576,BANGHOLME,VIC,145.208504,-38.016114,DANDENONG DC,Delivery Area,Updated 6-Feb-2020,21204,Dandenong,212,Melbourne - South East,R1,-38.0453436,145.1702424,21204131409,21204131409,212041314,Keysborough,21204,Dandenong,212,Melbourne - South East,1,1,1,1,Bruce,15.13858223,V1,PHN203,South Eastern Melbourne,Greater Dandenong,22670,Isaacs,Outer Metropolitan,2525,874388
2170,9150,29463,27.2,67908,35003,25113,7792,8026,1113,11,640310,"4,097,986",833.8,2839,CASULA,NSW,150.921448,-33.928392,CASULA MALL LPO,Delivery Area,Updated 6-Feb-2020,12703,Liverpool,127,Sydney - South West,R1,-33.9503864,150.9044946,12703152214,12703152214,127031522,Casula,12703,Liverpool,127,Sydney - South West,1,1,1,1,Fowler,,N1,PHN105,South Western Sydney,Fairfield,12850,Werriwa,Outer Metropolitan,1802,648102
3029,18134,37196,46.9,113135,87573,19496,6066,17431,686,17,686327,"4,392,494",864,4806,HOPPERS CROSSING,VIC,144.705831,-37.837165,HOPPERS CROSSING DEL CENTRE,Delivery Area,Updated 6-Feb-2020,21305,Wyndham,213,Melbourne - West,R1,-37.8629027,144.6854533,21305136105,21305136105,213051361,Hoppers Crossing - North,21305,Wyndham,213,Melbourne - West,1,1,1,1,Lalor,,V1,PHN201,North Western Melbourne,Wyndham,27260,Lalor,Outer Metropolitan,1795,692393
3977,15402,43445,34.3,81073,71571,9077,425,14903,497,2,622787,"3,985,837",763.4,21014,BOTANIC RIDGE,VIC,145.2695101,-38.1466398,Melbourne Metro,Delivery Area,Updated 6-Feb-2020,21401,Frankston,214,Mornington Peninsula,R1,-38.144,145.267,21203130304,21203130319,212031303,Cranbourne South,21203,Casey - South,212,Melbourne - South East,1,1,1,1,Holt,17.9073391,V1,PHN203,South Eastern Melbourne,Casey,21610,Holt,Outer Metropolitan,1711,623212
2650,8069,23164,31.6,212746,33549,15323,163874,7322,741,6,581920,"3,724,289",786,3791,ALFREDTOWN,NSW,147.376202,-35.07459,WAGGA WAGGA DC,Delivery Area,Updated 6-Feb-2020,11303,Wagga Wagga,113,Riverina,R3,-35.15251,147.5301587,11303127135,11303127135,113031271,Wagga Wagga Region,11303,Wagga Wagga,113,Riverina,2,2,5,5,Riverina,179,N2,PHN110,Murrumbidgee,Wagga Wagga,17750,Riverina,Rural,1645,745794
3030,13390,46204,27.8,77534,61198,12247,4089,12866,516,8,584210,"3,738,941",730.5,4809,CHARTWELL,VIC,144.64209,-37.91624,Melbourne Metro,,Updated 6-Feb-2020,21305,Wyndham,213,Melbourne - West,R1,-37.7935,144.764,21301133021,21301133055,213011330,Deer Park - Derrimut,21301,Brimbank,213,Melbourne - West,1,1,1,1,Lalor,,V1,PHN201,North Western Melbourne,Wyndham,27260,Lalor,Outer Metropolitan,1631,588299
2250,7515,23908,27.5,52275,28112,20054,4109,6567,941,7,557911,"3,570,631",725.1,2726,BUCKETTY,NSW,151.189243,-33.325373,GOSFORD DC,Delivery Area,Updated 6-Feb-2020,11503,Hawkesbury,115,Sydney - Baulkham Hills and Hawkesbury,R3,-33.106667,151.134444,11503129908,11503129908,115031299,Bilpin - Colo - St Albans,11503,Hawkesbury,115,Sydney - Baulkham Hills and Hawkesbury,2,2,5,5,Robertson,2.666388988,N1,PHN108,Hunter New England and Central Coast,Central Coast,11650,Robertson,Provincial,1579,562020
2340,7153,24113,26.4,47190,30349,15144,1697,6373,773,7,538373,"3,445,586",798.6,2920,APPLEBY,NSW,151.138322,-31.333592,TAMWORTH DC,Delivery Area,Updated 6-Feb-2020,11004,Tamworth - Gunnedah,110,New England and North West,R3,-30.9628196,150.8353199,11004120505,11004120505,110041205,Tamworth Region,11004,Tamworth - Gunnedah,110,New England and North West,2,2,3,3,New England,,N2,PHN108,Hunter New England and Central Coast,Tamworth Regional,17310,Parkes,Rural,1530,540070
3350,5654,29856,17.6,35137,24073,9673,1391,5266,384,4,471871,"3,019,975",611.3,6012,ALFREDTON,VIC,143.864505,-37.571941,WENDOUREE DC,Delivery Area,Updated 6-Feb-2020,20101,Ballarat,201,Ballarat,R3,-37.555,143.8,20101100106,20101100106,201011001,Alfredton,20101,Ballarat,201,Ballarat,2,2,2,2,Ballarat,452.2433472,V2,PHN206,Western Victoria,Ballarat,20570,Ballarat,Provincial,1387,473262
