"LGA","lga_name","lga_state","capacity_lga","dwellings_lga","instals_lga","density_lga","capunder10","cap10_100","capover100","countunder10","count10_100","count100"
"10050","Albury (C)","NSW","54182","28750","8483","26.2","34300","19152","730","7530","951","2"
"10180","Armidale Regional (A)","NSW","25219","12668","4201","29.9","17338","7881","0","3784","417","0"
"10250","Ballina (A)","NSW","56273","21008","10773","47.5","42130","13341","802","9982","788","3"
"10300","Balranald (A)","NSW","607958","1245","330","20.9","1314","1679","604965","260","65","5"
"10470","Bathurst Regional (A)","NSW","40367","18628","5991","27.9","25452","14616","299","5200","790","1"
"10500","Bayside (A)","NSW","39067","33577","5861","15.2","22486","15646","935","5116","742","3"
"10550","Bega Valley (A)","NSW","32728","17994","6800","35.7","25393","7076","259","6420","379","1"
"10600","Bellingen (A)","NSW","13945","6150","2874","44.3","11003","2942","0","2723","151","0"
"10650","Berrigan (A)","NSW","189280","4409","1948","38.5","7890","6099","175291","1696","251","1"
"10750","Blacktown (C)","NSW","284800","115067","45292","35.2","189795","82379","12626","40464","4800","28"
"10800","Bland (A)","NSW","8191","2782","1105","34.2","4532","2731","928","952","152","1"
"10850","Blayney (A)","NSW","7606","3181","1057","28.2","4391","2614","601","898","158","1"
"10900","Blue Mountains (C)","NSW","55208","34176","10935","29.5","41540","13519","149","10076","858","1"
"10950","Bogan (A)","NSW","106312","1244","554","38.4","1867","1246","103199","478","73","3"
"11150","Bourke (A)","NSW","4246","1285","717","48.5","2761","1485","0","623","94","0"
"11200","Brewarrina (A)","NSW","2486","672","393","49.8","1531","955","0","334","59","0"
"11250","Broken Hill (C)","NSW","27221","9336","5457","53.0","18311","8910","0","4949","508","0"
"11300","Burwood (A)","NSW","8707","7519","1375","15.8","5082","3625","0","1186","189","0"
"11350","Byron (A)","NSW","48248","15090","8379","48.8","31664","16429","155","7361","1017","1"
"11400","Cabonne (A)","NSW","110759","6027","2450","35.6","10254","5577","94928","2143","305","2"
"11450","Camden (A)","NSW","103786","32764","14247","35.7","63292","37848","2646","11689","2551","7"
"11500","Campbelltown (C) (NSW)","NSW","124478","57007","20980","33.1","86057","35910","2511","18879","2096","5"
"11520","Canada Bay (A)","NSW","23484","17907","3399","16.3","13543","8279","1662","2914","482","3"
"11570","Canterbury-Bankstown (A)","NSW","125514","92782","19187","18.1","72530","46383","6601","16834","2343","10"
"11600","Carrathool (A)","NSW","125846","1276","488","29.7","1867","2822","121157","378","102","8"
"11650","Central Coast (C) (NSW)","NSW","239253","137044","40103","26.2","158397","70083","10773","35841","4245","17"
"11700","Central Darling (A)","NSW","3478","1036","544","42.4","1794","1684","0","440","104","0"
"11720","Cessnock (C)","NSW","61362","24506","8906","31.4","37291","18379","5692","7700","1202","4"
"11730","Clarence Valley (A)","NSW","61224","24449","11100","41.8","44751","16015","458","10212","886","2"
"11750","Cobar (A)","NSW","5826","2166","1052","43.3","3837","1989","0","938","114","0"
"11800","Coffs Harbour (C)","NSW","73082","29648","13261","41.8","54662","17073","1347","12399","859","3"
"12000","Coolamon (A)","NSW","4471","1853","770","37.5","3260","1211","0","695","75","0"
"12150","Coonamble (A)","NSW","5757","1912","950","42.8","3477","2280","0","818","132","0"
"12160","Cootamundra-Gundagai Regional (A)","NSW","13376","5544","2068","32.8","8393","4514","469","1816","251","1"
"12350","Cowra (A)","NSW","14340","5763","2295","34.8","8926","5168","246","2008","286","1"
"12380","Cumberland (A)","NSW","81456","53147","12125","20.0","45174","30220","6062","10615","1495","15"
